@RELATION training_keyboard

    @ATTRIBUTE pacman_posx NUMERIC
    @ATTRIBUTE pacman_posy NUMERIC
    @ATTRIBUTE go_north {0,1}
    @ATTRIBUTE go_south {0,1}
    @ATTRIBUTE go_east {0,1}
    @ATTRIBUTE go_west {0,1}
    @ATTRIBUTE stop {0,1}
    @ATTRIBUTE living_ghosts_1 {1, 0}
    @ATTRIBUTE ghost_1_posx NUMERIC
    @ATTRIBUTE ghost_1_posy NUMERIC
    @ATTRIBUTE living_ghosts_2 {1, 0}
    @ATTRIBUTE ghost_2_posx NUMERIC
    @ATTRIBUTE ghost_2_posy NUMERIC
    @ATTRIBUTE living_ghosts_3 {1, 0}
    @ATTRIBUTE ghost_3_posx NUMERIC
    @ATTRIBUTE ghost_3_posy NUMERIC
    @ATTRIBUTE living_ghosts_4 {1, 0}
    @ATTRIBUTE ghost_4_posx NUMERIC
    @ATTRIBUTE ghost_4_posy NUMERIC
    @ATTRIBUTE distance_dot NUMERIC
    @ATTRIBUTE score NUMERIC
    @ATTRIBUTE move {North, South, East, West, Stop}
    @ATTRIBUTE next_score NUMERIC
    @ATTRIBUTE next_move {North, South, East, West, Stop}

@data
8,8,1,1,1,1,1,0,6,5,1,3,1,1,5,1,0,14,6,4,381,South,380,South
8,7,1,1,1,1,1,0,6,5,1,3,1,1,5,1,0,14,6,3,380,South,379,South
8,6,1,1,1,0,1,0,6,5,1,3,1,1,5,1,0,14,6,2,379,South,378,West
8,5,1,1,1,1,1,0,6,5,1,3,1,1,5,1,0,14,6,3,378,West,377,West
7,5,0,1,1,1,1,0,6,5,1,3,1,1,5,1,0,14,6,4,377,West,576,East
6,5,0,1,1,1,1,1,1,1,1,3,1,1,5,1,0,14,6,5,576,East,575,East
7,5,0,1,1,1,1,1,1,1,1,3,1,1,5,1,0,14,6,4,575,East,574,East
8,5,1,1,1,1,1,1,1,1,1,3,1,1,5,1,0,14,6,3,574,East,573,East
9,5,1,1,1,1,1,1,1,1,1,3,1,1,5,1,0,14,6,2,573,East,572,East
10,5,1,1,1,1,1,1,1,1,1,3,1,1,5,1,0,14,6,1,572,East,571,East
11,5,0,1,1,1,1,1,1,1,1,3,1,1,5,1,0,14,6,2,571,East,570,East
12,5,0,0,1,1,1,1,1,1,1,3,1,1,5,1,0,14,6,3,570,East,569,East
13,5,0,1,1,1,1,1,1,1,1,3,1,1,5,1,0,14,6,4,569,East,568,North
12,10,0,0,1,1,1,0,5,6,0,5,12,0,13,6,0,13,12,0,0,Stop,-1,Stop
12,10,0,0,1,1,1,0,4,6,0,5,12,0,12,6,0,13,12,0,-1,Stop,-2,Stop
12,10,0,0,1,1,1,0,4,5,0,5,12,0,12,6,0,12,12,0,-2,Stop,-3,Stop
12,10,0,0,1,1,1,0,4,4,0,6,12,0,11,6,0,11,12,0,-3,Stop,-4,East
12,10,0,0,1,1,1,0,3,4,0,7,12,0,11,5,0,12,12,0,-4,East,-5,South
13,10,0,1,1,1,1,0,3,5,0,6,12,0,11,4,0,12,12,0,-5,South,-6,East
13,9,1,1,1,0,1,0,3,4,0,7,12,0,11,5,0,13,12,0,-6,East,-7,South
14,9,1,1,1,1,1,0,3,4,0,8,12,0,12,5,0,13,12,0,-7,South,-8,South
14,8,1,1,1,1,1,0,3,3,0,8,12,0,11,5,0,13,12,0,-8,South,-9,South
14,7,1,1,1,0,1,0,3,4,0,8,13,0,12,5,0,13,12,0,-9,South,-10,West
14,6,1,1,1,1,1,0,3,5,0,8,13,0,11,5,0,12,12,0,-10,West,-11,West
13,6,0,1,1,1,1,0,3,4,0,8,12,0,10,5,0,11,12,0,-11,West,-12,West
12,6,0,1,1,1,1,0,3,4,0,8,12,0,11,5,0,12,12,0,-12,West,-13,South
11,6,0,1,1,1,1,0,4,4,0,8,12,0,11,4,0,12,12,0,-13,South,186,South
11,5,1,1,1,1,1,0,4,5,0,9,12,1,5,1,0,12,12,0,186,South,185,West
11,4,1,1,1,1,1,0,4,4,0,8,12,1,5,1,0,11,12,0,185,West,184,South
10,4,1,1,1,0,1,0,5,4,0,7,12,1,5,1,0,10,12,0,184,South,183,West
10,3,1,0,1,1,1,0,5,4,0,6,12,1,5,1,0,11,12,0,183,West,182,West
9,3,0,0,1,1,1,0,5,5,0,5,12,1,5,1,0,12,12,0,182,West,181,West
8,3,1,0,1,1,1,0,5,5,0,5,12,1,5,1,0,11,12,0,181,West,180,West
7,3,1,0,1,1,1,0,5,4,0,5,12,1,5,1,0,12,12,0,180,West,179,North
6,3,1,0,1,1,1,0,6,4,0,6,12,1,5,1,0,11,12,0,179,North,378,West
6,4,1,1,1,1,1,1,1,1,0,5,12,1,5,1,0,10,12,0,378,West,377,West
5,4,1,1,1,1,1,1,1,1,0,5,12,1,5,1,0,10,13,0,377,West,376,West
4,4,1,1,1,1,1,1,1,1,0,5,12,1,5,1,0,10,12,0,376,West,375,North
3,4,1,1,1,1,1,1,1,1,0,5,12,1,5,1,0,10,13,0,375,North,374,North
3,5,1,1,1,1,1,1,1,1,0,5,12,1,5,1,0,10,14,0,374,North,373,North
3,6,1,1,1,1,1,1,1,1,0,6,12,1,5,1,0,10,14,0,373,North,372,North
3,7,1,1,1,1,1,1,1,1,0,5,12,1,5,1,0,11,14,0,372,North,371,North
3,8,1,1,1,1,1,1,1,1,0,6,12,1,5,1,0,12,14,0,371,North,370,North
3,9,1,1,1,1,1,1,1,1,0,7,12,1,5,1,0,12,14,0,370,North,369,North
3,10,1,1,1,1,1,1,1,1,0,6,12,1,5,1,0,12,14,0,369,North,368,North
3,11,1,1,0,1,1,1,1,1,0,5,12,1,5,1,0,13,14,0,368,North,367,North
3,12,1,1,0,1,1,1,1,1,0,5,12,1,5,1,0,14,14,0,367,North,366,North
3,13,1,1,0,1,1,1,1,1,0,5,12,1,5,1,0,14,14,0,366,North,365,East
3,14,0,1,1,1,1,1,1,1,0,5,12,1,5,1,0,13,14,0,365,East,364,East
4,14,0,0,1,1,1,1,1,1,0,5,12,1,5,1,0,12,14,0,364,East,363,East
5,14,0,0,1,1,1,1,1,1,0,5,12,1,5,1,0,11,14,0,363,East,362,East
6,14,0,0,1,1,1,1,1,1,0,5,12,1,5,1,0,12,14,0,362,East,361,East
7,14,0,0,1,1,1,1,1,1,0,5,12,1,5,1,0,13,14,0,361,East,360,South
8,14,0,1,1,1,1,1,1,1,0,5,12,1,5,1,0,12,14,0,360,South,359,South
8,13,1,1,1,0,1,1,1,1,0,5,12,1,5,1,0,12,14,0,359,South,358,West
8,12,1,0,1,1,1,1,1,1,0,5,12,1,5,1,0,11,14,0,358,West,357,West
7,12,0,0,1,1,1,1,1,1,0,5,12,1,5,1,0,12,14,0,357,West,356,West
6,12,0,0,1,1,1,1,1,1,0,5,12,1,5,1,0,12,14,0,356,West,555,East
5,12,0,0,1,0,1,1,1,1,1,3,1,1,5,1,0,11,14,0,555,East,554,East
6,12,0,0,1,1,1,1,1,1,1,3,1,1,5,1,0,10,14,0,554,East,553,East
7,12,0,0,1,1,1,1,1,1,1,3,1,1,5,1,0,10,13,0,553,East,552,North
8,12,1,0,1,1,1,1,1,1,1,3,1,1,5,1,0,10,14,0,552,North,551,North
8,13,1,1,1,0,1,1,1,1,1,3,1,1,5,1,0,9,14,0,551,North,550,East
12,10,0,0,1,1,1,0,5,6,0,5,12,0,13,6,0,13,12,0,0,Stop,-1,Stop
12,10,0,0,1,1,1,0,5,6,0,5,12,0,13,6,0,13,12,0,-1,Stop,-2,Stop
12,10,0,0,1,1,1,0,5,6,0,5,12,0,13,6,0,13,12,0,-2,Stop,-3,East
12,10,0,0,1,1,1,0,5,6,0,5,12,0,13,6,0,13,12,0,-3,East,-4,East
13,10,0,1,1,1,1,0,5,6,0,5,12,0,13,6,0,13,12,0,-4,East,-5,South
14,10,0,1,1,1,1,0,5,6,0,5,12,0,13,6,0,13,12,0,-5,South,-6,South
14,9,1,1,1,1,1,0,5,6,0,5,12,0,13,6,0,13,12,0,-6,South,-7,South
14,8,1,1,1,1,1,0,5,6,0,5,12,0,13,6,0,13,12,0,-7,South,-8,South
14,7,1,1,1,0,1,0,5,6,0,5,12,0,13,6,0,13,12,0,-8,South,-9,West
14,6,1,1,1,1,1,0,5,6,0,5,12,0,13,6,0,13,12,0,-9,West,190,West
13,6,0,1,1,1,1,0,5,6,0,5,12,1,5,1,0,13,12,0,190,West,189,West
12,6,0,1,1,1,1,0,5,6,0,5,12,1,5,1,0,13,12,0,189,West,188,West
11,6,0,1,1,1,1,0,5,6,0,5,12,1,5,1,0,13,12,0,188,West,187,South
10,6,0,1,1,0,1,0,5,6,0,5,12,1,5,1,0,13,12,0,187,South,186,South
10,5,1,1,1,0,1,0,5,6,0,5,12,1,5,1,0,13,12,0,186,South,185,South
10,4,1,1,1,0,1,0,5,6,0,5,12,1,5,1,0,13,12,0,185,South,184,West
10,3,1,0,1,1,1,0,5,6,0,5,12,1,5,1,0,13,12,0,184,West,183,West
9,3,0,0,1,1,1,0,5,6,0,5,12,1,5,1,0,13,12,0,183,West,182,North
8,3,1,0,1,1,1,0,5,6,0,5,12,1,5,1,0,13,12,0,182,North,181,North
8,4,1,1,0,1,1,0,5,6,0,5,12,1,5,1,0,13,12,0,181,North,180,North
8,5,1,1,0,1,1,0,5,6,0,5,12,1,5,1,0,13,12,0,180,North,179,West
8,6,0,1,0,1,1,0,5,6,0,5,12,1,5,1,0,13,12,0,179,West,178,West
7,6,0,1,1,1,1,0,5,6,0,5,12,1,5,1,0,13,12,0,178,West,177,West
6,6,0,1,1,1,1,0,5,6,0,5,12,1,5,1,0,13,12,0,177,West,376,West
5,6,0,1,1,1,1,1,1,1,0,5,12,1,5,1,0,13,12,0,376,West,375,North
4,6,1,1,1,1,1,1,1,1,0,5,12,1,5,1,0,13,12,0,375,North,374,North
4,7,1,1,0,1,1,1,1,1,0,5,12,1,5,1,0,13,12,0,374,North,373,North
4,8,1,1,1,1,1,1,1,1,0,5,12,1,5,1,0,13,12,0,373,North,372,North
4,9,1,1,1,1,1,1,1,1,0,5,12,1,5,1,0,13,12,0,372,North,371,West
